;Tweet;sentimen;step01;tokens;final_tokens;step02;ProcessedText
37;"Kejar Diskon Spesial | Tokopedia
⏰22:00

💵Rp25.000
Tissue facial nice 180s x4
https://t.co/UDhBq0x2KO
Natur hair to… https://t.co/BysUMtIP2b";1;kejar diskon spesial tokopedia time rp25 number tissue facial nice 1 8 0 x4 coudhbq0x2ko natur hair to cobysumtip2b;['kejar', 'diskon', 'spesial', 'tokopedia', 'time', 'rp25', 'number', 'tissue', 'facial', 'nice', '1', '8', '0', 'x4', 'coudhbq0x2ko', 'natur', 'hair', 'to', 'cobysumtip2b'];['kejar', 'diskon', 'spesial', 'tokopedia', 'time', 'rp25', 'number', 'tissue', 'facial', 'nice', '1', '8', '0', 'x4', 'coudhbq0x2ko', 'natur', 'hair', 'to', 'cobysumtip2b'];kejar diskon spesial tokopedia time rp25 number tissue facial nice 1 8 0 x4 coudhbq0x2ko natur hair to cobysumtip2b;kejar diskon spesial tokopedia time rp25 number tissue facial nice 1 8 0 x4 coudhbq0x2ko natur hair to cobysumtip2b
38;"RT @PookiePooJen: ︴Rekomendasi Baju Batik Cowok 🍑

1. https://t.co/ZGolPd3XH3
2. https://t.co/n1f3xPbL60
3. https://t.co/MiDMG7yVxz
4. http…";0;rt user rekomendasi baju batik cowok number cozgolpd3xh3 number con1f3xpbl60 number comidmg7yvxz number http;['rt', 'user', 'rekomendasi', 'baju', 'batik', 'cowok', 'number', 'cozgolpd3xh3', 'number', 'con1f3xpbl60', 'number', 'comidmg7yvxz', 'number', 'http'];['rt', 'user', 'rekomendasi', 'baju', 'batik', 'cowok', 'number', 'cozgolpd3xh3', 'number', 'con1f3xpbl60', 'number', 'comidmg7yvxz', 'number', 'http'];rt user rekomendasi baju batik cowok number cozgolpd3xh3 number con1f3xpbl60 number comidmg7yvxz number http;rt user rekomendasi baju batik cowok number cozgolpd3xh3 number con1f3xpbl60 number comidmg7yvxz number http
39;"Kejar Diskon Spesial
🕙 22:00

[Rp25.490]
PRONAS Kari Ayam 200g x 2
https://t.co/EmEfFBWq7A

[Rp40.000]
Frisian Flag… https://t.co/hOVW3oMOsI";0;kejar diskon spesial time rp25 number pronas kari ayam 2 0 0 number coemeffbwq7a rp40 number frisian flag cohovw3omosi;['kejar', 'diskon', 'spesial', 'time', 'rp25', 'number', 'pronas', 'kari', 'ayam', '2', '0', '0', 'number', 'coemeffbwq7a', 'rp40', 'number', 'frisian', 'flag', 'cohovw3omosi'];['kejar', 'diskon', 'spesial', 'time', 'rp25', 'number', 'pronas', 'kari', 'ayam', '2', '0', '0', 'number', 'coemeffbwq7a', 'rp40', 'number', 'frisian', 'flag', 'cohovw3omosi'];kejar diskon spesial time rp25 number pronas kari ayam 2 0 0 number coemeffbwq7a rp40 number frisian flag cohovw3omosi;kejar diskon spesial time rp25 number pronas kari ayam 2 0 0 number coemeffbwq7a rp40 number frisian flag cohovw3omosi
40;"Kejar Diskon Spesial | Tokopedia
⏰22:00

💵Rp25.000
Mie kremezz mix shake &amp; shor - jagung bakar… https://t.co/BdP8HATAVC";0;kejar diskon spesial tokopedia time rp25 number mie kremezz mix shake shor jagung bakar cobdp8hatavc;['kejar', 'diskon', 'spesial', 'tokopedia', 'time', 'rp25', 'number', 'mie', 'kremezz', 'mix', 'shake', 'shor', 'jagung', 'bakar', 'cobdp8hatavc'];['kejar', 'diskon', 'spesial', 'tokopedia', 'time', 'rp25', 'number', 'mie', 'kremezz', 'mix', 'shake', 'shor', 'jagung', 'bakar', 'cobdp8hatavc'];kejar diskon spesial tokopedia time rp25 number mie kremezz mix shake shor jagung bakar cobdp8hatavc;kejar diskon spesial tokopedia time rp25 number mie kremezz mix shake shor jagung bakar cobdp8hatavc
41;"RT @shopeeethings: Rekomendasi dompet dari aku part 2 (pemakaian pribadi)

2. https://t.co/p31I7iBgaj
ada 6 slot kartu, 1 slot di tengah bi…";0;rt user rekomendasi dompet dari aku part number pemakaian pribadi number cop31i7ibgaj ada number slot kartu number slot di tengah bi;['rt', 'user', 'rekomendasi', 'dompet', 'dari', 'aku', 'part', 'number', 'pemakaian', 'pribadi', 'number', 'cop31i7ibgaj', 'ada', 'number', 'slot', 'kartu', 'number', 'slot', 'di', 'tengah', 'bi'];['rt', 'user', 'rekomendasi', 'dompet', 'dari', 'aku', 'part', 'number', 'pemakaian', 'pribadi', 'number', 'cop31i7ibgaj', 'ada', 'number', 'slot', 'kartu', 'number', 'slot', 'di', 'tengah', 'bi'];rt user rekomendasi dompet dari aku part number pemakaian pribadi number cop31i7ibgaj ada number slot kartu number slot di tengah bi;rt user rekomendasi dompet aku part number pakai pribadi number cop31i7ibgaj number slot kartu number slot tengah bi
42;"Coba cek ini, deh: ""Pecut Bopo Cambuk 2 Meter Abu Putih Cetar Kesenian Hiasan Dinding"" Rp53.500 di toko 2 Gold Mark… https://t.co/aPXVDCI9py";0;coba cek ini deh pecut bopo cambuk number meter abu putih cetar kesenian hiasan dinding rp53 number di toko number gold mark coapxvdci9py;['coba', 'cek', 'ini', 'deh', 'pecut', 'bopo', 'cambuk', 'number', 'meter', 'abu', 'putih', 'cetar', 'kesenian', 'hiasan', 'dinding', 'rp53', 'number', 'di', 'toko', 'number', 'gold', 'mark', 'coapxvdci9py'];['coba', 'cek', 'ini', 'deh', 'pecut', 'bopo', 'cambuk', 'number', 'meter', 'abu', 'putih', 'cetar', 'kesenian', 'hiasan', 'dinding', 'rp53', 'number', 'di', 'toko', 'number', 'gold', 'mark', 'coapxvdci9py'];coba cek ini deh pecut bopo cambuk number meter abu putih cetar kesenian hiasan dinding rp53 number di toko number gold mark coapxvdci9py;coba cek deh pecut bopo cambuk number meter abu putih cetar seni hias dinding rp53 number toko number gold mark coapxvdci9py
43;"Kejar Diskon Spesial | Tokopedia
⏰22:00

💵Rp20.000
O.two.O maskara long lasting natural
https://t.co/kOl0W89R0w
Pur… https://t.co/q1gHzncxIe";1;kejar diskon spesial tokopedia time rp20 number two maskara long lasting natural cokol0w89r0w pur coq1ghzncxie;['kejar', 'diskon', 'spesial', 'tokopedia', 'time', 'rp20', 'number', 'two', 'maskara', 'long', 'lasting', 'natural', 'cokol0w89r0w', 'pur', 'coq1ghzncxie'];['kejar', 'diskon', 'spesial', 'tokopedia', 'time', 'rp20', 'number', 'two', 'maskara', 'long', 'lasting', 'natural', 'cokol0w89r0w', 'pur', 'coq1ghzncxie'];kejar diskon spesial tokopedia time rp20 number two maskara long lasting natural cokol0w89r0w pur coq1ghzncxie;kejar diskon spesial tokopedia time rp20 number two maskara long lasting natural cokol0w89r0w pur coq1ghzncxie
44;"Kejar Diskon Spesial
🕙 22:00

[Rp20.000]
O.TWO.O Waterproof Mascara
https://t.co/R2iHc9OHeL

[Rp25.000]
Bundling sh… https://t.co/JB37KX4LWP";0;kejar diskon spesial time rp20 number two waterproof mascara cor2ihc9ohel rp25 number bundling sh cojb37kx4lwp;['kejar', 'diskon', 'spesial', 'time', 'rp20', 'number', 'two', 'waterproof', 'mascara', 'cor2ihc9ohel', 'rp25', 'number', 'bundling', 'sh', 'cojb37kx4lwp'];['kejar', 'diskon', 'spesial', 'time', 'rp20', 'number', 'two', 'waterproof', 'mascara', 'cor2ihc9ohel', 'rp25', 'number', 'bundling', 'sh', 'cojb37kx4lwp'];kejar diskon spesial time rp20 number two waterproof mascara cor2ihc9ohel rp25 number bundling sh cojb37kx4lwp;kejar diskon spesial time rp20 number two waterproof mascara cor2ihc9ohel rp25 number bundling sh cojb37kx4lwp
45;"@FOODFESS2 Brownies Panggang.. Siap kirim ke seluruh Indonesia 🙌💯

Untuk pemesanan bisa melalui :
Tokopedia… https://t.co/wiqvSVHBsH";0;user brownies panggang siap kirim ke seluruh indonesia untuk pemesanan bisa melalui tokopedia cowiqvsvhbsh;['user', 'brownies', 'panggang', 'siap', 'kirim', 'ke', 'seluruh', 'indonesia', 'untuk', 'pemesanan', 'bisa', 'melalui', 'tokopedia', 'cowiqvsvhbsh'];['user', 'brownies', 'panggang', 'siap', 'kirim', 'ke', 'seluruh', 'indonesia', 'untuk', 'pemesanan', 'bisa', 'melalui', 'tokopedia', 'cowiqvsvhbsh'];user brownies panggang siap kirim ke seluruh indonesia untuk pemesanan bisa melalui tokopedia cowiqvsvhbsh;user brownies panggang siap kirim seluruh indonesia mesan lalu tokopedia cowiqvsvhbsh
46;"RT @tokopedia: Olahraga aku setiap hari:

#Tokopedia #BTSTokopedia #YangLagiViral";0;rt user olahraga aku setiap hari hashtag tokopedia hashtag hashtag bts tokopedia hashtag hashtag yang lagi viral hashtag;['rt', 'user', 'olahraga', 'aku', 'setiap', 'hari', 'hashtag', 'tokopedia', 'hashtag', 'hashtag', 'bts', 'tokopedia', 'hashtag', 'hashtag', 'yang', 'lagi', 'viral', 'hashtag'];['rt', 'user', 'olahraga', 'aku', 'setiap', 'hari', 'hashtag', 'tokopedia', 'hashtag', 'hashtag', 'bts', 'tokopedia', 'hashtag', 'hashtag', 'yang', 'lagi', 'viral', 'hashtag'];rt user olahraga aku setiap hari hashtag tokopedia hashtag hashtag bts tokopedia hashtag hashtag yang lagi viral hashtag;rt user olahraga aku hari hashtag tokopedia hashtag hashtag bts tokopedia hashtag hashtag lagi viral hashtag
47;RT @hayforuandme: Ka @i_m_mortal_ dan folls ada yg tau g ya vc cb toko yg dilayani tokopedia tuh toko apa aja? dr bbrp hari udh nyoba nyari…;0;rt user ka user dan folls ada yg tau ya vc cb toko yg dilayani tokopedia tuh toko apa aja dr bbrp hari udh nyoba nyari;['rt', 'user', 'ka', 'user', 'dan', 'folls', 'ada', 'yg', 'tau', 'ya', 'vc', 'cb', 'toko', 'yg', 'dilayani', 'tokopedia', 'tuh', 'toko', 'apa', 'aja', 'dr', 'bbrp', 'hari', 'udh', 'nyoba', 'nyari'];['rt', 'user', 'ka', 'user', 'dan', 'folls', 'ada', 'yang', 'tau', 'iya', 'vc', 'cb', 'toko', 'yang', 'dilayani', 'tokopedia', 'itu', 'toko', 'apa', 'saja', 'dari', 'beberapa', 'hari', 'sudah', 'nyoba', 'mencari'];rt user ka user dan folls ada yang tau iya vc cb toko yang dilayani tokopedia itu toko apa saja dari beberapa hari sudah nyoba mencari;rt user ka user folls tau iya vc cb toko yang layan tokopedia toko apa dari beberapa hari nyoba cari
48;"RT @m_promosindo2: Nama Meja Bank BRI stainless berholder aluminium krom mulai Rp. 245.000 di Media Promosindo.
https://t.co/SKnsJ3CvdW

#n…";1;rt user nama meja bank bri stainless berholder aluminium krom mulai rp number di media promosindo cosknsj3cvdw hashtag hashtag;['rt', 'user', 'nama', 'meja', 'bank', 'bri', 'stainless', 'berholder', 'aluminium', 'krom', 'mulai', 'rp', 'number', 'di', 'media', 'promosindo', 'cosknsj3cvdw', 'hashtag', 'hashtag'];['rt', 'user', 'nama', 'meja', 'bank', 'bri', 'stainless', 'berholder', 'aluminium', 'krom', 'mulai', 'rupiah', 'number', 'di', 'media', 'promosindo', 'cosknsj3cvdw', 'hashtag', 'hashtag'];rt user nama meja bank bri stainless berholder aluminium krom mulai rupiah number di media promosindo cosknsj3cvdw hashtag hashtag;rt user nama meja bank bri stainless berholder aluminium krom mulai rupiah number media promosindo cosknsj3cvdw hashtag hashtag
49;"Minggu 30 Oktober Laut Bercerita Dalam Hal Detik Menit Dan Perjam,
Iqbaal Vidi Andin Eva Elfie Menikmati Istora Sen… https://t.co/MRbUuWWJSQ";0;minggu number oktober laut bercerita dalam hal detik menit dan perjam iqbaal vidi andin eva elfie menikmati istora sen comrbuuwwjsq;['minggu', 'number', 'oktober', 'laut', 'bercerita', 'dalam', 'hal', 'detik', 'menit', 'dan', 'perjam', 'iqbaal', 'vidi', 'andin', 'eva', 'elfie', 'menikmati', 'istora', 'sen', 'comrbuuwwjsq'];['minggu', 'number', 'oktober', 'laut', 'bercerita', 'dalam', 'hal', 'detik', 'menit', 'dan', 'perjam', 'iqbaal', 'vidi', 'andin', 'eva', 'elfie', 'menikmati', 'istora', 'sen', 'comrbuuwwjsq'];minggu number oktober laut bercerita dalam hal detik menit dan perjam iqbaal vidi andin eva elfie menikmati istora sen comrbuuwwjsq;minggu number oktober laut cerita hal detik menit jam iqbaal vidi andin eva elfie nikmat istora sen comrbuuwwjsq
50;"Rekomendasi Barang Koleksi untuk Dekorasi Rumah yang bisa sekaligus dijadikan investasi :
Kamera :… https://t.co/d7OAaVR5Gd";0;rekomendasi barang koleksi untuk dekorasi rumah yang bisa sekaligus dijadikan investasi kamera cod7oaavr5gd;['rekomendasi', 'barang', 'koleksi', 'untuk', 'dekorasi', 'rumah', 'yang', 'bisa', 'sekaligus', 'dijadikan', 'investasi', 'kamera', 'cod7oaavr5gd'];['rekomendasi', 'barang', 'koleksi', 'untuk', 'dekorasi', 'rumah', 'yang', 'bisa', 'sekaligus', 'dijadikan', 'investasi', 'kamera', 'cod7oaavr5gd'];rekomendasi barang koleksi untuk dekorasi rumah yang bisa sekaligus dijadikan investasi kamera cod7oaavr5gd;rekomendasi barang koleksi dekorasi rumah bisa sekaligus jadi investasi kamera cod7oaavr5gd
51;"RT @Nurulkjo1: Ready ya guys.....🙏🏻💜

Coba cek ini, deh: ""Meta Black Bawang Hitam Probiotik - 500 ml"" Rp200.000 di toko ulul hope imeta Tok…";1;rt user ready ya guys coba cek ini deh meta black bawang hitam probiotik number ml rp200 number di toko ulul hope imeta tok;['rt', 'user', 'ready', 'ya', 'guys', 'coba', 'cek', 'ini', 'deh', 'meta', 'black', 'bawang', 'hitam', 'probiotik', 'number', 'ml', 'rp200', 'number', 'di', 'toko', 'ulul', 'hope', 'imeta', 'tok'];['rt', 'user', 'ready', 'iya', 'guys', 'coba', 'cek', 'ini', 'deh', 'meta', 'black', 'bawang', 'hitam', 'probiotik', 'number', 'mobile legends', 'rp200', 'number', 'di', 'toko', 'ulul', 'hope', 'imeta', 'saja'];rt user ready iya guys coba cek ini deh meta black bawang hitam probiotik number mobile legends rp200 number di toko ulul hope imeta saja;rt user ready iya guys coba cek deh meta black bawang hitam probiotik number mobile legends rp200 number toko ulul hope imeta
52;"Lagi ada diskon cashback max 5000 dengan kode ""brayanorganik""
Yukkkk order 🤗

Coba cek ini, deh: ""Gula Semut Organi… https://t.co/vBJLHcBX4k";0;lagi ada diskon cashback max number dengan kode brayanorganik yukkkk order coba cek ini deh gula semut organi covbjlhcbx4k;['lagi', 'ada', 'diskon', 'cashback', 'max', 'number', 'dengan', 'kode', 'brayanorganik', 'yukkkk', 'order', 'coba', 'cek', 'ini', 'deh', 'gula', 'semut', 'organi', 'covbjlhcbx4k'];['lagi', 'ada', 'diskon', 'cashback', 'max', 'number', 'dengan', 'kode', 'brayanorganik', 'yukkkk', 'order', 'coba', 'cek', 'ini', 'deh', 'gula', 'semut', 'organi', 'covbjlhcbx4k'];lagi ada diskon cashback max number dengan kode brayanorganik yukkkk order coba cek ini deh gula semut organi covbjlhcbx4k;ada diskon cashback max number kode brayanorganik yukkkk order coba cek deh gula semut organ covbjlhcbx4k
53;"anyway aku pakai pan carote, pan yg aku pake buat masak apa aja 🤧 sayang banget sama pan ini.

kalau mau beli bisa… https://t.co/FU3WaoDDBE";0;anyway aku pakai pan carote pan yg aku pake buat masak apa aja sayang banget sama pan ini kalau mau beli bisa cofu3waoddbe;['anyway', 'aku', 'pakai', 'pan', 'carote', 'pan', 'yg', 'aku', 'pake', 'buat', 'masak', 'apa', 'aja', 'sayang', 'banget', 'sama', 'pan', 'ini', 'kalau', 'mau', 'beli', 'bisa', 'cofu3waoddbe'];['anyway', 'aku', 'pakai', 'pan', 'carote', 'pan', 'yang', 'aku', 'pakai', 'buat', 'masak', 'apa', 'saja', 'sayang', 'banget', 'sama', 'pan', 'ini', 'kalau', 'mau', 'beli', 'bisa', 'cofu3waoddbe'];anyway aku pakai pan carote pan yang aku pakai buat masak apa saja sayang banget sama pan ini kalau mau beli bisa cofu3waoddbe;anyway aku pakai pan carote pan aku pakai buat masak apa sayang banget sama pan kalau mau beli cofu3waoddbe
54;@sosmii__ di sini sis, ada warna lain juga cakep2 banget https://t.co/c657MKUaPl;0;user di sini sis ada warna lain juga cakep2 banget coc657mkuapl;['user', 'di', 'sini', 'sis', 'ada', 'warna', 'lain', 'juga', 'cakep2', 'banget', 'coc657mkuapl'];['user', 'di', 'sini', 'kakak', 'ada', 'warna', 'lain', 'juga', 'cakep2', 'banget', 'coc657mkuapl'];user di sini kakak ada warna lain juga cakep2 banget coc657mkuapl;user sini kakak warna juga cakep2 banget coc657mkuapl
55;"RT @jayparkgf9: 🌷 rekomendasi sling bag wanita 🌷

1. https://t.co/a6zK56bKkp
2. https://t.co/fIAaQI04O1
3. https://t.co/vhsW91BMMN
4. https…";0;rt user rekomendasi sling bag wanita number coa6zk56bkkp number cofiaaqi04o1 number covhsw91bmmn number https;['rt', 'user', 'rekomendasi', 'sling', 'bag', 'wanita', 'number', 'coa6zk56bkkp', 'number', 'cofiaaqi04o1', 'number', 'covhsw91bmmn', 'number', 'https'];['rt', 'user', 'rekomendasi', 'sling', 'bag', 'wanita', 'number', 'coa6zk56bkkp', 'number', 'cofiaaqi04o1', 'number', 'covhsw91bmmn', 'number', 'https'];rt user rekomendasi sling bag wanita number coa6zk56bkkp number cofiaaqi04o1 number covhsw91bmmn number https;rt user rekomendasi sling bag wanita number coa6zk56bkkp number cofiaaqi04o1 number covhsw91bmmn number https
56;"nih ada spuit murah di tokped cuma 2rb
https://t.co/Xjf2gN6BeU";0;nih ada spuit murah di tokped cuma 2 rb coxjf2gn6beu;['nih', 'ada', 'spuit', 'murah', 'di', 'tokped', 'cuma', '2', 'rb', 'coxjf2gn6beu'];['ini', 'ada', 'spuit', 'murah', 'di', 'tokped', 'cuma', '2', 'ribu', 'coxjf2gn6beu'];ini ada spuit murah di tokped cuma 2 ribu coxjf2gn6beu;ada spuit murah tokped cuma 2 ribu coxjf2gn6beu
57;Ka @i_m_mortal_ dan folls ada yg tau g ya vc cb toko yg dilayani tokopedia tuh toko apa aja? dr bbrp hari udh nyoba… https://t.co/84SHWRV4qR;0;ka user dan folls ada yg tau ya vc cb toko yg dilayani tokopedia tuh toko apa aja dr bbrp hari udh nyoba co84shwrv4qr;['ka', 'user', 'dan', 'folls', 'ada', 'yg', 'tau', 'ya', 'vc', 'cb', 'toko', 'yg', 'dilayani', 'tokopedia', 'tuh', 'toko', 'apa', 'aja', 'dr', 'bbrp', 'hari', 'udh', 'nyoba', 'co84shwrv4qr'];['ka', 'user', 'dan', 'folls', 'ada', 'yang', 'tau', 'iya', 'vc', 'cb', 'toko', 'yang', 'dilayani', 'tokopedia', 'itu', 'toko', 'apa', 'saja', 'dari', 'beberapa', 'hari', 'sudah', 'nyoba', 'co84shwrv4qr'];ka user dan folls ada yang tau iya vc cb toko yang dilayani tokopedia itu toko apa saja dari beberapa hari sudah nyoba co84shwrv4qr;ka user folls tau iya vc cb toko yang layan tokopedia toko apa dari beberapa hari nyoba co84shwrv4qr
58;"RT @yaelahbadut: Buat yang lagi nyari POD atau liquid yang seger2, cobain deh liquid dari FOOM, yang Fruity Series favorit gue semua sih

g…";0;rt user buat yang lagi nyari pod atau liquid yang seger2 cobain deh liquid dari foom yang fruity series favorit gue semua sih;['rt', 'user', 'buat', 'yang', 'lagi', 'nyari', 'pod', 'atau', 'liquid', 'yang', 'seger2', 'cobain', 'deh', 'liquid', 'dari', 'foom', 'yang', 'fruity', 'series', 'favorit', 'gue', 'semua', 'sih'];['rt', 'user', 'buat', 'yang', 'lagi', 'mencari', 'pod', 'atau', 'liquid', 'yang', 'seger2', 'cobain', 'deh', 'liquid', 'dari', 'foom', 'yang', 'fruity', 'series', 'favorit', 'saya', 'semua', 'sih'];rt user buat yang lagi mencari pod atau liquid yang seger2 cobain deh liquid dari foom yang fruity series favorit saya semua sih;rt user buat lagi cari pod liquid seger2 cobain deh liquid foom fruity series favorit semua sih
59;"RT @tokopedia: 4 alternatif sehat pengganti gula, cekidot guys...
🐜🐜🐜🐜

#miaminto https://t.co/xtCFZuWCAS";0;rt user number alternatif sehat pengganti gula cekidot guys hashtag miam into hashtag coxtcfzuwcas;['rt', 'user', 'number', 'alternatif', 'sehat', 'pengganti', 'gula', 'cekidot', 'guys', 'hashtag', 'miam', 'into', 'hashtag', 'coxtcfzuwcas'];['rt', 'user', 'number', 'alternatif', 'sehat', 'pengganti', 'gula', 'cekidot', 'guys', 'hashtag', 'miam', 'into', 'hashtag', 'coxtcfzuwcas'];rt user number alternatif sehat pengganti gula cekidot guys hashtag miam into hashtag coxtcfzuwcas;rt user number alternatif sehat ganti gula cekidot guys hashtag miam into hashtag coxtcfzuwcas
60;semua bahan bisa dibeli di pasar/supermarket terdekat, tapi kalau mau beli online di toko ijo free ongkir bisa beli… https://t.co/caL8z6Rep5;1;semua bahan bisa dibeli di pasar supermarket terdekat tapi kalau mau beli online di toko ijo free ongkir bisa beli cocal8z6rep5;['semua', 'bahan', 'bisa', 'dibeli', 'di', 'pasar', 'supermarket', 'terdekat', 'tapi', 'kalau', 'mau', 'beli', 'online', 'di', 'toko', 'ijo', 'free', 'ongkir', 'bisa', 'beli', 'cocal8z6rep5'];['semua', 'bahan', 'bisa', 'dibeli', 'di', 'pasar', 'supermarket', 'terdekat', 'tapi', 'kalau', 'mau', 'beli', 'online', 'di', 'toko', 'ijo', 'free', 'ongkir', 'bisa', 'beli', 'cocal8z6rep5'];semua bahan bisa dibeli di pasar supermarket terdekat tapi kalau mau beli online di toko ijo free ongkir bisa beli cocal8z6rep5;semua bahan beli pasar supermarket dekat kalau mau beli online toko ijo free ongkir beli cocal8z6rep5
61;@callmebisa @saloveyouu @seffkind0shi @lipbatlm @Askrlfess gatau diri bgt 😭😭;0;user user user user user gatau diri bgt;['user', 'user', 'user', 'user', 'user', 'gatau', 'diri', 'bgt'];['user', 'user', 'user', 'user', 'user', 'gatau', 'diri', 'banget'];user user user user user gatau diri banget;user user user user user gatau diri banget
62;"@orchidpoison Eh pas scroll tokped ada Promo Nivea lagi bundle sama “SKIN Comma” Turkish glove 😍

Tetep penasaran k… https://t.co/yS2HdyS2eq";0;user eh pas scroll tokped ada promo nivea lagi bundle sama skin comma turkish glove tetep penasaran coys2hdys2eq;['user', 'eh', 'pas', 'scroll', 'tokped', 'ada', 'promo', 'nivea', 'lagi', 'bundle', 'sama', 'skin', 'comma', 'turkish', 'glove', 'tetep', 'penasaran', 'coys2hdys2eq'];['user', 'eh', 'cocok', 'scroll', 'tokped', 'ada', 'promo', 'nivea', 'lagi', 'bundle', 'sama', 'skin', 'comma', 'turkish', 'glove', 'tetap', 'penasaran', 'coys2hdys2eq'];user eh cocok scroll tokped ada promo nivea lagi bundle sama skin comma turkish glove tetap penasaran coys2hdys2eq;user eh cocok scroll tokped promo nivea bundle sama skin comma turkish glove tetap penasaran coys2hdys2eq
63;@Askrlfess kemarin the sun skrg the moon, nanti apalagi? the saturnus is so beautiful?;1;user kemarin the sun skrg the moon nanti apalagi the saturnus is so beautiful;['user', 'kemarin', 'the', 'sun', 'skrg', 'the', 'moon', 'nanti', 'apalagi', 'the', 'saturnus', 'is', 'so', 'beautiful'];['user', 'kemarin', 'the', 'sun', 'sekarang', 'the', 'moon', 'nanti', 'apalagi', 'the', 'saturnus', 'is', 'so', 'beautiful'];user kemarin the sun sekarang the moon nanti apalagi the saturnus is so beautiful;user kemarin the sun sekarang the moon apalagi the saturnus is so beautiful
64;"RT @MuseumMACAN: “Pressure and Pleasure"" — sebuah antologi kontemporer yang terinspirasi karya Agus Suwage.

Menghadirkan fiksi-fiksi terba…";0;rt user pressure and pleasure sebuah antologi kontemporer yang terinspirasi karya agus suwage menghadirkan fiksi fiksi terba;['rt', 'user', 'pressure', 'and', 'pleasure', 'sebuah', 'antologi', 'kontemporer', 'yang', 'terinspirasi', 'karya', 'agus', 'suwage', 'menghadirkan', 'fiksi', 'fiksi', 'terba'];['rt', 'user', 'pressure', 'dan', 'pleasure', 'sebuah', 'antologi', 'kontemporer', 'yang', 'terinspirasi', 'karya', 'agus', 'suwage', 'menghadirkan', 'fiksi', 'fiksi', 'terba'];rt user pressure dan pleasure sebuah antologi kontemporer yang terinspirasi karya agus suwage menghadirkan fiksi fiksi terba;rt user pressure pleasure buah antologi kontemporer inspirasi karya agus suwage hadir fiksi fiksi terba
65;@convomf 57k buat beli es kacang ijo aja nder https://t.co/JJyzHUkVMo;0;user 5 7 buat beli es kacang ijo aja nder cojjyzhukvmo;['user', '5', '7', 'buat', 'beli', 'es', 'kacang', 'ijo', 'aja', 'nder', 'cojjyzhukvmo'];['user', '5', '7', 'buat', 'beli', 'es', 'kacang', 'ijo', 'saja', 'nder', 'cojjyzhukvmo'];user 5 7 buat beli es kacang ijo saja nder cojjyzhukvmo;user 5 7 buat beli es kacang ijo nder cojjyzhukvmo
66;"@littlestar01_ Belinya lewat @tokopedia soale ono potongan 20k

Bismillah dilirik @tokopedia 🗿🗿🗿";0;user belinya lewat user soale ono potongan 2 0 bismillah dilirik user;['user', 'belinya', 'lewat', 'user', 'soale', 'ono', 'potongan', '2', '0', 'bismillah', 'dilirik', 'user'];['user', 'belinya', 'lewat', 'user', 'karena', 'ono', 'potongan', '2', '0', 'bismillah', 'dilirik', 'user'];user belinya lewat user karena ono potongan 2 0 bismillah dilirik user;user beli lewat user ono potong 2 0 bismillah lirik user
67;"@idextratime Wkkw
https://t.co/03w5x8ndkR";0;user wkkw co03w5x8ndkr;['user', 'wkkw', 'co03w5x8ndkr'];['user', 'wkkw', 'co03w5x8ndkr'];user wkkw co03w5x8ndkr;user wkkw co03w5x8ndkr
68;"RT @AkalBuku: ✅ SEJARAH DUNIA UNTUK PEMBACA MUDA 

🛒 Harga: 99 ribu

➡️ 𝗣𝗲𝘀𝗮𝗻 𝘃𝗶𝗮 𝗰𝗵𝗮𝘁 𝗪𝗔: klik https://t.co/V0G5VGRyaz

➡️ 𝗣𝗲𝘀𝗮𝗻 𝘃𝗶𝗮 𝗺𝗮𝗿𝗸𝗲…";0;rt user sejarah dunia untuk pembaca muda harga number ribu klik cov0g5vgryaz;['rt', 'user', 'sejarah', 'dunia', 'untuk', 'pembaca', 'muda', 'harga', 'number', 'ribu', 'klik', 'cov0g5vgryaz'];['rt', 'user', 'sejarah', 'dunia', 'untuk', 'pembaca', 'muda', 'harga', 'number', 'ribu', 'klik', 'cov0g5vgryaz'];rt user sejarah dunia untuk pembaca muda harga number ribu klik cov0g5vgryaz;rt user sejarah dunia baca muda harga number ribu klik cov0g5vgryaz
69;"Upcoming Merchandise Original JP
Eta nya Desember-Januari 2022/2023

Semuanya original jepang yaaa
Dijamin murah pa… https://t.co/BruYGwi9uz";1;upcoming merchandise original jp eta nya desember januari number number semuanya original jepang yaaa dijamin murah pa cobruygwi9uz;['upcoming', 'merchandise', 'original', 'jp', 'eta', 'nya', 'desember', 'januari', 'number', 'number', 'semuanya', 'original', 'jepang', 'yaaa', 'dijamin', 'murah', 'pa', 'cobruygwi9uz'];['upcoming', 'merchandise', 'original', 'jp', 'eta', 'nya', 'desember', 'januari', 'number', 'number', 'semuanya', 'original', 'jepang', 'yaaa', 'dijamin', 'murah', 'pak', 'cobruygwi9uz'];upcoming merchandise original jp eta nya desember januari number number semuanya original jepang yaaa dijamin murah pak cobruygwi9uz;upcoming merchandise original jp eta nya desember januari number number semua original jepang yaaa jamin murah pak cobruygwi9uz
